Time,Peak
3.885748,0.024178
4.308084,0.032734
4.942247,0.029069
5.252828,0.037569
5.884139,0.034282
6.29058,0.03661
6.74439,0.038337
7.319926,0.030779
7.636224,0.04039
8.242585,0.039882
8.659245,0.03914
9.099427,0.039103
10.638248,0.034531
11.036801,0.039924
11.477276,0.036891
12.081757,0.022712
12.392117,0.035061
12.782486,0.122552
12.844854,0.149126
12.965259,0.621287
13.160501,0.663494
13.38145,0.533753
13.575423,0.47299
13.802037,0.180113
13.868575,0.161244
13.954587,0.414906
14.123555,0.556879
14.311506,0.391798
14.485185,0.010165
14.531512,0.368226
14.673827,0.006928
14.724012,0.483095
14.864037,0.313962
15.103886,0.541773
15.293143,0.032843
15.440521,0.074063
15.550095,0.010161
15.707002,0.040651
15.871975,0.018868
15.978629,0.008691
16.141995,0.050172
16.275275,0.049381
16.432233,0.011979
16.599367,0.050985
16.735212,0.057286
16.85355,0.007601
17.036692,0.053628
17.176345,0.059003
17.291172,0.010803
17.448525,0.027189
17.619132,0.04014
17.774178,0.055759
17.900264,0.015482
18.05236,0.04064
18.216558,0.025156
18.329573,0.013889
18.494433,0.042169
18.622756,0.089802
18.78485,0.011964
18.932306,0.043179
19.076437,0.011315
19.178578,0.012022
19.379341,0.04204
19.529296,0.007959
19.809252,0.422708
20.122431,0.323815
20.398333,0.007365
20.568621,0.522597
20.690917,0.266917
20.736355,0.14826
20.976537,0.512559
21.293574,0.321014
21.402494,0.00661
21.757084,0.446818
21.85543,0.199519
21.908435,0.141479
22.14262,0.418945
22.325263,0.374987
22.504412,0.469229
22.727113,0.016346
22.921803,0.448341
23.04744,0.290321
23.11558,0.103572
23.179325,0.015383
23.311288,0.455962
23.495258,0.007816
23.636857,0.447165
23.863066,0.009559
24.07838,0.463985
24.212542,0.114476
24.363816,0.121144
24.479225,0.145491
24.675626,0.305266
25.085773,0.030446
25.249403,0.006314
25.390381,0.013686
25.55115,0.436222
25.600551,0.051546
25.851583,0.015061
25.982694,0.598775
26.132964,0.008569
26.25934,0.065428
26.433738,0.373009
26.611327,0.006957
26.728612,0.032334
26.861833,0.63034
27.18527,0.59839
27.458587,0.011616
27.759686,0.011913
27.918975,0.300531
27.967618,0.027572
28.212339,0.007115
28.264712,0.021877
28.3794,0.233283
28.635484,0.179739
28.824951,0.382511
28.973036,0.00607
29.020876,0.39558
29.230001,0.475279
29.430878,0.37808
29.625628,0.417083
29.825023,0.428491
30.026804,0.336728
30.388316,0.214783
30.446879,0.225189
30.600045,0.299545
30.805406,0.394072
31.02325,0.400195
31.22803,0.381942
31.457551,0.167143
31.612269,0.434663
31.790451,0.445627
31.938011,0.006903
31.978951,0.420969
32.198408,0.382052
32.390221,0.37751
32.661716,0.117199
32.804697,0.183998
32.983383,0.188274
33.158873,0.364711
33.205898,0.018922
33.394278,0.325718
33.588835,0.425302
33.751589,0.08111
33.851777,0.1817
34.00514,0.443428
34.185142,0.484311
34.372454,0.431231
34.59975,0.138795
34.799484,0.456294
35.038664,0.188116
35.122116,0.206914
35.205884,0.372818
35.386,0.605475
35.590986,0.44696
35.820288,0.300518
36.031363,0.30773
