Time,Peak
11.618129,0.049782
11.729907,0.265776
11.878381,0.227589
12.003846,0.523742
12.194841,0.24074
12.345505,0.182928
12.474861,0.421869
12.661241,0.122694
12.824208,0.36949
12.950599,0.223691
13.051017,0.454071
13.325187,0.323793
13.649447,0.544199
13.881265,0.192618
14.250743,0.189245
14.460644,0.619942
14.72393,0.411799
15.187374,0.372711
15.507635,0.600701
15.738036,0.265747
16.097322,0.158023
16.317723,0.568897
16.576639,0.322074
17.027232,0.212935
17.360962,0.554143
17.59387,0.281875
17.948173,0.16662
18.173574,0.504721
18.431326,0.25788
18.882066,0.183803
19.095392,0.510813
19.219739,0.432358
19.337633,0.312384
19.443574,0.601835
19.636431,0.211701
19.802527,0.205971
19.911179,0.63617
20.271632,0.395336
20.467358,0.600299
20.622742,0.030419
20.742062,0.272168
21.059168,0.553003
21.314388,0.292467
21.659843,0.143554
21.870022,0.495267
21.947458,0.032756
22.151962,0.336
22.615016,0.204363
22.94319,0.500089
23.193628,0.272487
23.55843,0.163451
23.779227,0.505008
24.04776,0.413017
24.511987,0.298562
24.840379,0.504125
25.09187,0.297246
25.455598,0.12696
25.680883,0.420432
25.944985,0.187775
26.417181,0.18399
26.626113,0.674467
27.00118,0.762473
27.197436,0.316448
27.366077,0.278536
27.473396,0.728588
27.838739,0.264257
28.041615,0.525452
28.314901,0.131338
28.628597,0.61994
28.902386,0.329833
29.252574,0.342401
29.73445,0.758649
29.873429,0.04199
30.054448,0.577167
30.210578,0.43103
30.346187,0.286237
30.52527,0.526114
30.672019,0.205719
30.795476,0.504513
30.977714,0.320097
31.132569,0.265954
31.26563,0.337953
31.470126,0.155358
31.631276,0.44071
31.825057,0.522684
32.101845,0.23471
32.418626,0.520125
32.677865,0.354616
33.046533,0.229775
33.262435,0.595976
33.540153,0.485137
34.004122,0.343201
34.334831,0.61075
34.582978,0.377157
34.951424,0.236118
35.166457,0.542753
35.426154,0.41507
35.904961,0.35606
36.236308,0.596699
36.478708,0.327673
36.85024,0.205349
37.076714,0.492645
37.333913,0.368783
37.80911,0.299679
38.130371,0.632941
38.394335,0.335868
38.761715,0.29194
38.977926,0.458284
39.229465,0.32945
39.713342,0.34369
40.047086,0.656629
40.278624,0.716655
40.491148,0.314569
40.649246,0.282123
40.761701,0.622448
41.133339,0.366686
41.34035,0.514074
41.614796,0.098448
41.947695,0.599146
42.191003,0.322091
42.559697,0.256567
42.775933,0.472913
43.040069,0.447749
43.515718,0.224424
43.844353,0.589763
44.091974,0.347475
44.449708,0.337037
44.680783,0.588719
44.938964,0.59794
45.138808,0.034763
45.549324,0.790804
45.882586,0.347044
46.02592,0.648482
46.20693,0.34024
46.358139,0.330956
46.486277,0.519587
46.691151,0.18762
46.850143,0.528038
47.057258,0.665542
47.336405,0.297343
47.656613,0.605992
47.918204,0.392671
48.289315,0.186033
48.510108,0.587968
48.77861,0.510338
49.254838,0.291232
49.572392,0.601805
49.832644,0.370902
50.204607,0.172064
50.431039,0.588343
50.700421,0.404188
51.16571,0.308806
51.486971,0.643723
51.742697,0.444833
52.10962,0.160177
52.329562,0.603528
52.604289,0.377116
53.065425,0.329793
53.397014,0.609476
53.651056,0.393051
54.012357,0.170511
54.233722,0.535703
54.517948,0.173571
54.9778,0.250662
55.309592,0.615781
55.56158,0.359832
55.931309,0.149351
56.142903,0.5069
56.407164,0.46753
56.620137,0.081934
56.899259,0.198484
57.085856,0.648321
57.218487,0.434857
57.345414,0.140516
57.461324,0.577843
57.655433,0.286631
57.834608,0.146412
57.94367,0.677933
58.315543,0.459508
58.527697,0.669215
58.808543,0.244331
59.132054,0.778532
59.385378,0.312821
59.751852,0.228918
59.963509,0.546566
60.228523,0.405956
60.711033,0.33159
61.043388,0.694929
61.293331,0.368266
61.655493,0.179228
61.869589,0.500649
62.146336,0.420949
62.620807,0.200345
62.946315,0.571821
63.211034,0.24375
63.571261,0.137122
63.786119,0.407715
64.047574,0.348525
64.259123,0.030493
64.651062,0.671748
64.882998,0.030822
64.98839,0.253646
65.131083,0.586965
65.313159,0.245469
65.474111,0.288941
65.604325,0.500878
65.802711,0.154395
65.954055,0.5949
66.151828,0.598609
66.435057,0.283737
66.761426,0.502865
67.041347,0.333034
67.404887,0.215765
67.612978,0.605019
67.873376,0.480036
68.09516,0.103324
68.495072,0.961266
68.829885,0.449147
68.968603,0.732355
69.163354,0.504555
69.320228,0.381237
69.446777,0.573687
69.641145,0.147155
69.800683,0.579353
69.996624,0.608684
70.28788,0.276754
70.598584,0.527354
70.87292,0.346372
71.234928,0.170979
71.445047,0.473012
71.719176,0.374045
72.185933,0.281523
72.516579,0.53408
72.758937,0.232263
73.117471,0.203754
73.325985,0.429502
73.597146,0.341123
74.06742,0.340237
74.395078,0.535685
74.648689,0.255436
75.013519,0.179294
75.222414,0.418423
75.499666,0.202838
75.962138,0.313904
76.286397,0.522195
76.54437,0.266483
76.899872,0.149635
77.108467,0.49534
77.380557,0.192017
77.846671,0.184362
78.166743,0.602947
78.427326,0.315206
78.794759,0.191378
79.007986,0.53185
79.282796,0.242215
79.741567,0.276767
80.06353,0.545718
80.319837,0.255948
80.679644,0.143686
80.89301,0.467329
81.166392,0.106388
81.624472,0.249847
81.951504,0.455863
82.217992,0.282814
82.580191,0.218853
82.797364,0.468227
83.055256,0.404403
83.282183,0.103282
83.691041,0.774501
84.00155,0.378727
84.1331,0.503479
84.327061,0.192582
84.478399,0.283477
84.609532,0.541299
84.809305,0.099944
84.971206,0.451529
85.159213,0.529724
85.437206,0.166224
85.758774,0.686058
86.029186,0.403853
86.38954,0.16285
86.616603,0.370478
86.89351,0.168781
87.350664,0.227869
87.684019,0.475706
87.94421,0.282852
88.300001,0.111692
88.516738,0.399233
88.642516,0.034647
88.783709,0.31633
89.246476,0.139023
89.55777,0.475726
89.819817,0.260905
90.177701,0.130988
90.374973,0.324089
90.653608,0.274915
91.132802,0.143273
91.459511,0.506982
91.726171,0.271977
92.080492,0.104266
92.287109,0.447565
92.576212,0.139276
93.037895,0.10651
93.355224,0.420981
93.609831,0.264378
93.973048,0.080325
94.174729,0.364789
94.440595,0.159679
94.901588,0.13213
95.106017,0.507782
95.245646,0.362621
95.351368,0.109915
95.490083,0.5973
95.70837,0.246029
95.858131,0.174236
95.976647,0.561537
96.182763,0.261192
96.340165,0.379875
96.54551,0.464402
96.812388,0.082329
97.132912,0.373767
97.394033,0.205767
97.762093,0.101548
97.979602,0.430025
98.244667,0.120749
98.708796,0.274733
99.037589,0.530303
99.302027,0.293863
99.664622,0.12621
99.880895,0.420206
100.15119,0.250425
100.618652,0.292002
100.940494,0.480155
101.197212,0.395238
101.554014,0.123001
101.7797,0.555193
102.051796,0.346559
102.518514,0.246626
102.857772,0.580646
103.11686,0.364933
103.487259,0.172022
103.698277,0.505618
103.979995,0.274597
104.452344,0.220887
104.773629,0.523383
105.042591,0.259863
105.396958,0.107981
105.603612,0.472512
105.889951,0.291106
106.35598,0.152945
106.683713,0.465561
106.943372,0.212725
107.301633,0.125977
107.512514,0.37142
107.787221,0.203877
108.24933,0.294195
108.582119,0.520845
108.839671,0.254072
109.212363,0.145268
109.415937,0.462285
109.681368,0.236999
110.158735,0.153198
110.376161,0.772132
110.519357,0.035418
110.627359,0.246532
110.753731,0.729111
110.947805,0.39236
111.11398,0.2205
111.225322,0.638699
111.589704,0.4654
111.798088,0.555547
112.060957,0.15941
112.391867,0.489653
112.64796,0.256357
113.024625,0.383929
113.504827,0.704358
113.660681,0.034651
113.811262,0.368054
113.970129,0.548193
114.104473,0.334766
114.292873,0.537927
114.427261,0.304912
114.55719,0.512221
114.741234,0.302414
114.906929,0.328418
115.033134,0.425021
115.224033,0.128259
115.386598,0.485734
115.578273,0.510895
115.851514,0.167265
116.165862,0.576322
116.437723,0.347318
116.797899,0.102095
117.017795,0.494006
117.288357,0.36376
117.751433,0.112594
118.065572,0.597054
118.333559,0.302415
118.688217,0.147836
118.909882,0.495361
119.186528,0.364551
119.634096,0.184977
119.963123,0.545961
120.225528,0.311422
120.576482,0.1277
120.787697,0.511871
121.074368,0.404063
121.534287,0.281115
121.859035,0.600347
122.117405,0.29186
122.473948,0.146024
122.699764,0.416835
122.96841,0.3742
123.444958,0.144792
123.7609,0.631465
124.02395,0.364602
124.394101,0.116573
124.604546,0.516578
124.885542,0.34881
125.36609,0.204521
125.686792,0.685066
125.938889,0.367529
126.30204,0.27058
126.521176,0.49064
126.801856,0.33194
127.273779,0.205226
127.600434,0.657415
127.860975,0.394263
128.21549,0.142784
128.423623,0.553892
128.530792,0.035044
128.690307,0.39862
129.162784,0.194969
129.371724,0.737027
129.516996,0.361236
129.633759,0.151796
129.754219,0.612624
129.95227,0.358771
130.119786,0.230911
130.236228,0.66039
130.611166,0.411304
130.817411,0.621822
131.089903,0.194585
131.402397,0.527184
131.674585,0.242786
132.043654,0.096721
132.254495,0.431492
132.533489,0.247328
132.996664,0.149898
133.326718,0.540369
133.588465,0.235885
133.940974,0.180879
134.155613,0.463362
134.42532,0.231786
134.893816,0.111697
135.212877,0.634839
135.470882,0.332646
135.838507,0.211996
136.042338,0.459585
136.310573,0.261904
136.800321,0.10632
137.115801,0.591168
137.369609,0.32195
137.734537,0.19434
137.949583,0.464945
138.058434,0.033026
138.211623,0.255916
138.701915,0.28377
139.020496,0.760843
139.179845,0.097946
139.270105,0.776513
139.472767,0.393013
139.637431,0.239148
139.745188,0.69997
140.114367,0.499474
140.327213,0.670137
140.603888,0.243204
140.926315,0.588116
141.198399,0.403441
141.560516,0.171775
141.776737,0.584367
142.055001,0.224468
142.506085,0.251554
142.838915,0.618874
143.097934,0.36685
143.469123,0.170024
143.681206,0.543627
143.788632,0.032609
143.950331,0.456847
144.561591,0.740952
144.684014,0.042808
144.761606,0.034623
144.893994,0.314451
145.030005,0.578578
145.22297,0.197282
145.390142,0.298973
145.519759,0.338939
145.728376,0.101552
145.883623,0.442975
146.082565,0.48359
146.361861,0.280005
146.693516,0.51199
146.971147,0.307923
147.346665,0.117108
147.551195,0.510066
147.829051,0.341616
