Time,Peak
0.967522,0.018035
1.784823,0.019727
3.541522,0.018949
3.810827,0.019523
4.443506,0.533796
4.575604,0.068342
4.682493,0.119276
4.813974,0.161869
4.932439,0.607104
5.056493,0.091045
5.172112,0.110476
5.296583,0.146398
5.415216,0.505669
5.533537,0.077826
5.656581,0.086807
5.776935,0.117857
5.899575,0.439671
6.022019,0.086139
6.141687,0.087001
6.278315,0.103601
6.391479,0.225228
6.512589,0.077203
6.629629,0.093248
6.756009,0.111646
6.876085,0.4008
6.989144,0.084859
7.107308,0.120914
7.242522,0.127957
7.361542,0.368086
7.482415,0.107104
7.598812,0.100916
7.720955,0.105132
7.844904,0.468057
7.973972,0.090271
8.094898,0.085881
8.217619,0.117506
8.332218,0.295422
8.459735,0.102135
8.580098,0.083148
8.700545,0.118577
8.822362,0.221304
8.937534,0.115692
9.055308,0.150336
9.191429,0.11701
9.306828,0.409878
9.421341,0.123567
9.54372,0.094911
9.670349,0.106864
9.792711,0.229975
9.905808,0.092229
10.023262,0.104365
10.150058,0.112167
10.270507,0.281234
10.392491,0.082787
10.513372,0.079741
10.632537,0.092191
10.753643,0.273622
10.869171,0.105525
10.989537,0.104372
11.115423,0.074278
11.239538,0.29696
11.351637,0.080102
11.471613,0.085486
11.608411,0.069917
11.721919,0.202463
11.833782,0.082861
11.957345,0.096801
12.080531,0.102837
12.203325,0.23031
12.320844,0.088189
12.443381,0.062335
12.56017,0.074787
12.680424,0.300966
12.793237,0.097538
12.913166,0.108151
13.033703,0.094807
13.167706,0.282542
13.281032,0.081199
13.390338,0.096106
13.523365,0.08105
13.641126,0.322361
13.7596,0.078798
13.868376,0.058733
13.997354,0.07978
14.101387,0.337838
14.223463,0.100763
14.341268,0.091578
14.462937,0.089551
14.58428,0.319395
14.690778,0.090387
14.811435,0.091208
14.929334,0.091374
15.050868,0.151004
15.164907,0.098949
15.291742,0.096863
15.415099,0.107125
15.527889,0.15406
15.645011,0.076431
15.760454,0.089762
15.887409,0.083533
15.997196,0.310334
16.11337,0.090896
16.233204,0.109375
16.346412,0.096149
16.467723,0.371697
16.582931,0.09899
16.705213,0.110227
16.82021,0.10378
16.935356,0.415086
17.049953,0.107932
17.164287,0.09631
17.286342,0.080527
17.398484,0.382867
17.52244,0.049484
17.634644,0.063211
17.75052,0.094522
17.862673,0.44672
17.983104,0.089133
18.099293,0.09799
18.205255,0.119078
18.327654,0.524595
18.44546,0.096473
18.563867,0.096657
18.694006,0.097408
18.810684,0.4375
18.934678,0.102796
19.053541,0.070959
19.165264,0.106645
19.278089,0.367112
19.396791,0.100142
19.520075,0.073088
19.633529,0.086402
19.744476,0.282967
19.863659,0.100245
19.99184,0.061051
20.096704,0.091323
20.217204,0.306616
20.336396,0.07307
20.454403,0.080305
20.571723,0.082693
20.686975,0.287485
20.803583,0.08346
20.917646,0.083495
21.031631,0.082409
21.158121,0.46778
21.273806,0.081151
21.404057,0.071314
21.512597,0.057586
21.624027,0.25859
21.752275,0.088586
21.871292,0.064494
21.987127,0.038355
22.10326,0.399442
22.223369,0.089439
22.343768,0.077994
22.468163,0.048171
22.579586,0.194505
22.68565,0.061538
22.799,0.075859
22.923397,0.044389
23.041906,0.251395
23.163759,0.081615
23.281189,0.058489
23.4165,0.052855
23.526653,0.243097
23.646021,0.075427
23.763871,0.041822
23.892785,0.064605
23.989727,0.335654
24.101813,0.064802
24.21021,0.084169
24.339475,0.056115
24.451042,0.391614
24.556081,0.07028
24.67456,0.081171
24.790399,0.100937
24.901474,0.440745
25.007668,0.084379
25.124182,0.109304
25.242987,0.104059
25.355897,0.443427
25.458902,0.116889
25.575137,0.145624
25.694738,0.104159
25.815521,0.563804
25.928699,0.103732
26.040097,0.142521
26.157209,0.110225
26.266622,0.62921
26.374454,0.10179
26.496395,0.097733
26.609836,0.10771
26.721246,0.468847
26.83183,0.100255
26.948966,0.113662
27.068406,0.108392
27.178955,0.651965
27.277305,0.123802
27.40274,0.163613
27.515015,0.113458
27.627128,0.67719
27.743486,0.115048
27.857806,0.115356
27.964632,0.097142
28.080149,0.695256
28.19028,0.114812
28.30859,0.145606
28.432279,0.115305
28.542595,0.667502
28.662384,0.098295
28.780927,0.086463
28.892121,0.104908
29.001153,0.617928
29.118756,0.095182
29.234391,0.103494
29.335042,0.099259
29.451324,0.307944
29.56759,0.101473
29.682681,0.115644
29.790058,0.068499
29.895278,0.592162
30.012573,0.127414
30.126981,0.130185
30.237468,0.08883
30.3553,0.384874
30.471763,0.110805
30.5866,0.072392
30.710991,0.061503
30.805469,0.657645
30.919471,0.112603
31.041243,0.115676
31.149086,0.096399
31.267048,0.611879
31.378538,0.110776
31.506145,0.070528
31.609196,0.109969
31.722633,0.789267
31.833398,0.118481
31.962339,0.122384
32.066342,0.106577
32.17911,0.721012
32.289728,0.068769
32.405512,0.067124
32.518102,0.080111
32.642793,0.655209
32.745723,0.065925
32.868985,0.1086
32.981049,0.059945
33.097222,0.574076
33.211114,0.06575
33.304246,0.077526
33.441313,0.057814
33.55157,0.506418
33.655689,0.067741
33.772404,0.112047
33.88907,0.068795
34.006057,0.58273
34.120625,0.113542
34.235183,0.097239
34.353851,0.107618
34.468148,0.526677
34.573343,0.099374
34.687385,0.11441
34.800911,0.08509
34.913638,0.63935
35.024335,0.092401
35.138337,0.07843
35.253465,0.076404
35.359187,0.574357
35.468004,0.112704
35.588721,0.134233
35.701973,0.082919
35.817786,0.244806
35.930199,0.097954
36.050071,0.069222
36.161166,0.096616
36.281375,0.526133
36.385069,0.109545
36.505621,0.113839
36.607937,0.076837
36.725518,0.528043
36.838894,0.095201
36.951081,0.092832
37.068185,0.070244
37.172432,0.690373
37.276383,0.115206
37.396692,0.130763
37.502058,0.120101
37.616698,0.744346
37.723862,0.104282
37.834594,0.112529
37.945798,0.08981
38.06305,0.421116
38.162679,0.118314
38.270822,0.184206
38.393351,0.086408
38.491649,0.6427
38.598084,0.129987
38.71398,0.184185
38.835804,0.141299
38.951625,0.637071
39.054791,0.116881
39.174461,0.13597
39.280723,0.14293
39.395694,0.783303
39.506924,0.124131
39.627271,0.129093
39.73678,0.109062
39.848788,0.871651
39.956007,0.116132
40.081621,0.161597
40.188576,0.109949
40.304741,0.541918
40.41749,0.126374
40.53507,0.080697
40.647625,0.076978
40.753118,0.525241
40.862483,0.093957
40.977529,0.11973
41.090712,0.058426
41.200928,0.57178
41.315045,0.101453
41.423622,0.050738
41.542975,0.076501
41.658383,0.48803
41.761943,0.095118
41.878351,0.128631
41.99115,0.062698
42.109078,0.283133
42.221429,0.095945
42.334695,0.105557
42.467945,0.063636
42.560243,0.432145
42.682015,0.091701
42.804032,0.078486
42.911594,0.078882
43.020798,0.473697
43.14061,0.063776
43.248488,0.051102
43.376565,0.055632
43.477776,0.345996
43.595123,0.08702
43.724784,0.037756
43.810364,0.028527
43.938895,0.189931
44.055506,0.062947
44.175699,0.040504
44.289822,0.022802
44.398051,0.471824
44.502123,0.086247
44.625139,0.064022
44.749396,0.053207
44.848461,0.332775
44.960548,0.075413
45.087927,0.071838
45.197524,0.042045
45.3115,0.440363
45.426577,0.117188
45.555266,0.058577
45.648566,0.021965
45.776494,0.469991
45.89106,0.089172
46.011023,0.097919
46.139454,0.070082
46.237422,0.511442
46.359683,0.086055
46.483506,0.069007
46.577444,0.062353
46.697158,0.443144
46.817688,0.076791
46.938458,0.048749
47.039845,0.042356
47.151199,0.513611
47.26202,0.078895
47.38963,0.064092
47.484812,0.065327
47.598167,0.343254
47.70895,0.093026
47.835285,0.050118
47.942313,0.048931
48.055209,0.24646
48.168241,0.073096
48.286267,0.073527
48.391143,0.040323
48.512412,0.458336
48.629569,0.08365
48.748871,0.042452
48.850708,0.035534
48.973519,0.416521
49.076945,0.07205
49.201952,0.065003
49.295181,0.050481
49.427817,0.525595
49.535691,0.077795
49.654602,0.052159
49.77364,0.059734
49.881191,0.437633
49.992855,0.059573
50.113992,0.080488
50.221535,0.059662
50.33726,0.416893
50.45347,0.061593
50.577077,0.054026
50.683602,0.053551
50.800836,0.320317
50.905314,0.098968
51.026649,0.092796
51.151617,0.049268
51.247361,0.389356
51.37435,0.070793
51.491877,0.047672
51.600174,0.054089
51.706351,0.32942
51.819396,0.081634
51.934866,0.072593
52.048079,0.062956
52.155888,0.295542
52.275655,0.090996
52.390383,0.076917
52.506085,0.088671
52.615731,0.377984
52.719119,0.076409
52.838512,0.141544
52.976232,0.037373
53.075313,0.473982
53.191675,0.086143
53.316216,0.068837
53.418979,0.049544
53.530066,0.319113
53.640244,0.075182
53.759398,0.091423
53.888512,0.075978
53.994038,0.389877
54.107418,0.073571
54.227615,0.077357
54.347603,0.095479
54.455495,0.370595
54.566971,0.086319
54.685072,0.096812
54.795453,0.084371
54.916007,0.502125
55.024645,0.106199
55.146307,0.091356
55.273333,0.053638
55.386203,0.383394
55.488535,0.087201
55.610067,0.08923
55.724998,0.084397
55.843804,0.316102
55.955647,0.083982
56.074049,0.087178
56.185291,0.057018
56.296759,0.553892
56.404792,0.088343
56.519858,0.119059
56.638192,0.051629
56.753588,0.391055
56.861871,0.105654
56.989631,0.084457
57.097738,0.061712
57.206695,0.311788
57.314701,0.086119
57.442604,0.110198
57.5555,0.090904
57.672646,0.524762
57.78171,0.101836
57.899211,0.116434
58.013893,0.073663
58.135104,0.405577
58.240966,0.080198
58.360814,0.08235
58.48024,0.095236
58.591946,0.396335
58.701531,0.079799
58.815188,0.050111
58.924213,0.062095
59.041016,0.375546
59.144603,0.083418
59.239109,0.044274
59.374637,0.048853
59.482357,0.150309
59.593939,0.087675
59.714376,0.072985
59.825354,0.054028
59.949504,0.512234
60.055863,0.06315
60.180869,0.065737
60.288626,0.06562
60.412983,0.257043
60.519695,0.060315
60.653274,0.029202
60.75241,0.059832
60.871741,0.394023
60.975539,0.06122
61.10494,0.052252
61.204057,0.052311
61.333767,0.305991
61.443876,0.04304
61.566166,0.048597
61.674282,0.034335
61.789815,0.244062
61.903754,0.060717
62.018693,0.063623
62.153682,0.036213
62.238042,0.439222
62.357278,0.032006
62.467176,0.050565
62.584193,0.034506
62.70117,0.333862
62.820161,0.039163
62.942419,0.044655
63.063189,0.037289
63.181369,0.284122
63.294545,0.051418
63.422316,0.066829
63.539164,0.044552
63.668501,0.252653
63.779285,0.067378
63.908239,0.074998
64.017945,0.054229
64.142449,0.297762
64.248229,0.069103
64.376433,0.02956
64.6003,0.179865
64.720119,0.048579
64.838004,0.041641
64.957142,0.068221
65.072614,0.207113
65.180796,0.032419
65.290032,0.062977
65.435969,0.016796
65.538291,0.24572
65.647979,0.037121
65.767608,0.044958
65.899963,0.051435
65.994792,0.1329
66.106504,0.060637
66.210402,0.06778
66.340001,0.031052
66.451465,0.321146
66.565914,0.045861
66.686065,0.071552
66.800324,0.055708
66.909631,0.298432
67.021609,0.079594
67.14266,0.112615
67.259438,0.050207
67.380627,0.310023
67.491492,0.051209
67.614917,0.066137
67.736864,0.087797
67.848252,0.245577
67.9665,0.074234
68.0638,0.06342
68.189843,0.0325
68.300188,0.248287
68.41373,0.07098
68.534326,0.098904
68.660928,0.082248
68.762611,0.35347
68.876579,0.100577
69.001559,0.07447
69.111552,0.066732
69.227585,0.374739
69.339789,0.096233
69.466836,0.092339
69.57863,0.081729
69.69972,0.524295
69.810772,0.096758
69.930845,0.080921
70.050136,0.061245
70.155113,0.337906
70.275204,0.08854
70.400383,0.084214
70.499732,0.070417
70.62692,0.39027
70.734356,0.075281
70.852579,0.086722
70.977645,0.050712
71.087678,0.286772
71.205367,0.07722
71.329568,0.062045
71.429319,0.051893
71.554309,0.25046
71.663239,0.08489
71.788329,0.075665
71.90222,0.022931
71.997218,0.658119
72.114217,0.105203
72.234914,0.193979
72.365372,0.022287
72.459763,0.768891
72.571483,0.25768
72.690666,0.254688
72.919428,0.619894
73.037146,0.282231
73.151974,0.296929
73.369992,0.72259
73.486088,0.277671
73.603608,0.312946
73.828443,0.779619
73.943252,0.287022
74.058482,0.306206
74.28153,0.811524
74.396168,0.351257
74.505175,0.239664
74.722619,0.89961
