Cycle,Time
1.1,0.574883787
1.2,1.202897511
1.3,1.826429048
1.4,2.445156704
2.1,3.058758787
2.2,3.667041045
2.3,4.270318994
2.4,4.869035589
3.1,5.463633787
3.2,6.054832826
3.3,6.644457073
3.4,7.234607177
4.1,7.827383787
4.2,8.424257521
4.3,9.024178874
4.4,9.625468308
5.1,10.22644629
5.2,10.82576989
5.3,11.42344265
5.4,12.01980473
6.1,12.61519629
6.2,13.2097928
6.3,13.80311105
6.4,14.39450318
7.1,14.98332129
7.2,15.56929101
7.3,16.153632
7.4,16.73793742
8.1,17.32380045
8.2,17.91212877
8.3,18.50108815
8.4,19.08815889
9.1,19.67082129
9.2,20.24731369
9.3,20.81890665
9.4,21.38762881
10.1,21.95550879
10.2,22.52417605
10.3,23.09366348
10.4,23.66360481
11.1,24.23363379
11.2,24.80323407
11.3,25.37128903
11.4,25.936532
12.1,26.49769629
12.2,27.05400845
12.3,27.60666801
12.4,28.15736775
13.1,28.70780045
13.2,29.25915759
13.3,29.8106255
13.4,30.36088922
14.1,30.90863379
14.2,31.45269255
14.3,31.99249209
14.4,32.52760726
15.1,33.05761295
15.2,33.58264022
15.3,34.10504481
15.4,34.62773869
16.1,35.15363379
16.2,35.68479117
16.3,36.21986836
16.4,36.75667202
17.1,37.29300879
17.2,37.8270574
17.3,38.35848498
17.4,38.8873307
18.1,39.41363379
18.2,39.93718038
18.3,40.45674446
18.4,40.97084695
19.1,41.47800879
19.2,41.9772738
19.3,42.46977742
19.4,42.95717798
20.1,43.44113379
20.2,43.92282693
20.3,44.40153451
20.4,44.87605734
21.1,45.34519629
21.2,45.8083286
21.3,46.26713727
21.4,46.7238817
22.1,47.18082129
22.2,47.6396604
22.3,48.09988319
22.4,48.56041878
23.1,49.02019629
23.2,49.47838234
23.3,49.93509364
23.4,50.39068438
24.1,50.84550879
24.2,51.29987761
24.3,51.7539278
24.4,52.20775286
25.1,52.66144629
25.2,53.11503788
25.3,53.56830259
25.4,54.02095164
26.1,54.47269629
26.2,54.92341422
26.3,55.37364896
26.4,55.82411049
27.1,56.27550879
27.2,56.72825933
27.3,57.18159961
27.4,57.6344726
28.1,58.08582129
28.2,58.53494102
28.3,58.98253658
28.4,59.42966512
29.1,59.87738379
29.2,60.32639651
29.3,60.77599431
29.4,61.22511497
30.1,61.67269629
30.2,62.11813601
30.3,62.56267172
30.4,63.00800096
31.1,63.45582129
31.2,63.90717859
31.3,64.36051217
31.4,64.81360968
32.1,65.26425879
32.2,65.71106077
32.3,66.1558714
32.4,66.60136011
33.1,67.05019629
33.2,67.50411642
33.3,67.96112526
33.4,68.41829461
34.1,68.87269629
34.2,69.32221084
34.3,69.76795372
34.4,70.21184914
35.1,70.65582129
35.2,71.10144061
35.3,71.54886257
35.4,71.99788889
36.1,72.44832129
36.2,72.89987926
36.3,73.35195342
36.4,73.80385213
37.1,74.25488379
37.2,74.7046146
37.3,75.15364211
37.4,75.60282171
38.1,76.05300879
38.2,76.50487133
38.3,76.95832775
38.4,77.41310906
39.1,77.86894629
39.2,78.32537371
39.3,78.78113868
39.4,79.23479183
40.1,79.68488379
40.2,80.13073312
40.3,80.57473016
40.4,81.02003318
41.1,81.46980045
41.2,81.92615148
41.3,82.38705068
41.4,82.84942373
42.1,83.31019629
42.2,83.76694872
42.3,84.21988024
42.4,84.66984479
43.1,85.11769629
43.2,85.56438373
43.3,86.01123629
43.4,86.45967823
44.1,86.91113379
44.2,87.36635719
44.3,87.82342263
44.4,88.27973427
45.1,88.73269629
45.2,89.18042285
45.3,89.6238681
45.4,90.0646962
46.1,90.50457129
46.2,90.94500902
46.3,91.38693112
46.4,91.8311108
47.1,92.27832129
47.2,92.7288682
47.3,93.1811867
47.4,93.63324438
48.1,94.08300879
48.2,94.52903088
48.3,94.9721951
48.4,95.41396929
49.1,95.85582129
49.2,96.2989204
49.3,96.74324187
49.4,97.18846242
50.1,97.63425879
50.2,98.08031779
50.3,98.52636671
50.4,98.97214291
51.1,99.41738379
51.2,99.86179182
51.3,100.30493
51.4,100.7463263
52.1,101.1855088
52.2,101.6224719
52.3,102.0590756
52.4,102.4976458
53.1,102.9405088
53.2,103.3891563
53.3,103.8417424
53.4,104.2955867
54.1,104.7480088
54.2,105.1970023
54.3,105.6432574
54.4,106.0881382
55.1,106.5330088
55.2,106.9790413
55.3,107.4266399
55.4,107.8760167
56.1,108.3273838
56.2,108.7808129
56.3,109.2358139
56.4,109.6917561
57.1,110.1480088
57.2,110.6040508
57.3,111.0597979
57.4,111.5152755
58.1,111.9705088
58.2,112.4254899
58.3,112.8800784
58.4,113.3341009
59.1,113.7873838
59.2,114.2398061
59.3,114.6914568
59.4,115.1424772
60.1,115.5930088
60.2,116.0431625
60.3,116.4929283
60.4,116.9422655
61.1,117.3911338
61.2,117.8395027
61.3,118.2873828
61.4,118.7347946
62.1,119.1817588
62.2,119.6282856
62.3,120.0743434
62.4,120.5198901
63.1,120.9648838
63.2,121.4093432
63.3,121.8535309
63.4,122.29777
64.1,122.7423838
64.2,123.1874918
64.3,123.6323984
64.4,124.0762039
65.1,124.5180088
65.2,124.9572285
65.3,125.3945378
65.4,125.8309263
66.1,126.2673838
66.2,126.7047283
66.3,127.1430918
66.4,127.5824346
67.1,128.0227171
67.2,128.4638986
67.3,128.9059342
67.4,129.348778
68.1,129.7923838
68.2,130.2366439
68.3,130.6812031
68.4,131.1256443
69.1,131.5695505
69.2,132.0126357
69.3,132.4551393
69.4,132.8974319
70.1,133.3398838
70.2,133.7829037
70.3,134.2270527
70.4,134.6729297
71.1,135.1211338
71.2,135.571972
71.3,136.0245829
71.4,136.477813
72.1,136.9305088
72.2,137.3819681
72.3,137.8332936
72.4,138.2860392
73.1,138.7417588
73.2,139.2014016
73.3,139.6634985
73.4,140.1259755
74.1,140.5867588
74.2,141.0443941
74.3,141.4999057
74.4,141.9549376
75.1,142.4111338
75.2,142.8696412
75.3,143.3296189
75.4,143.7897291
76.1,144.2486338
76.2,144.7051036
76.3,145.1583432
76.4,145.6076655
77.1,146.0523838
77.2,146.4922549
77.3,146.9288111
77.4,147.3640287
78.1,147.7998838
78.2,148.2378457
78.3,148.6773558
78.4,149.1173487
79.1,149.5567588
79.2,149.9947862
79.3,150.4316934
79.4,150.8680083
80.1,151.3042588
80.2,151.7410328
80.3,152.1791576
80.4,152.6195206
81.1,153.0630088
81.2,153.5100748
81.3,153.9594319
81.4,154.4093587
82.1,154.8581338
82.2,155.3044376
82.3,155.7485582
82.4,156.1911853
83.1,156.6330088
83.2,157.0747586
83.3,157.5173255
83.4,157.9616403
84.1,158.4086338
84.2,158.8589205
84.3,159.3118488
84.4,159.7664509
85.1,160.2217588
85.2,160.676958
85.3,161.1318476
85.4,161.5863804
86.1,162.0405088
86.2,162.4941519
86.3,162.9470946
86.4,163.3990882
87.1,163.8498838
87.2,164.2993308
87.3,164.7476703
87.4,165.1952416
88.1,165.6423838
88.2,166.0895172
88.3,166.5373863
88.4,166.9868167
89.1,167.4386338
89.2,167.8933582
89.3,168.3502903
89.4,168.8084253
90.1,169.2667588
90.2,169.7245168
90.3,170.1818491
90.4,170.6391363
91.1,171.0967588
91.2,171.555182
91.3,172.0152097
91.4,172.4777308
92.1,172.9436338
