Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
232,3,01:01,1,,,,,,,,,,,,,,
232,3,01:02,2,,,,,,,,,,,,,,
232,3,01:03,3,,,,,,,,,,,,,,
232,3,01:04,4,,,,,,,,,,,,,,
232,3,01:05,5,,,,,,,,,,,,,,
232,3,01:06,6,,,,,,,,,,,,,,
232,3,01:07,7,,,,,,,,,,,,,,
232,3,01:08,8,,,,,,,,,,,,,,
232,3,01:09,9,,,,,,,,,,,,,,
232,3,01:10,10,,,,,,,,,,,,,,
232,3,01:11,11,,,,,,,,,,,,,,
232,3,01:12,12,,,,,,,,,,,,,,
232,3,01:13,13,,,,,,,,,,,,,,
232,3,01:14,14,,,,,,,,,,,,,,
232,3,01:15,15,,,,,,,,,,,,,,
232,3,01:16,16,,,,,,,,,,,,,,
232,3,02:01,1,,,,,,,,,,,,,,
232,3,02:02,2,,,,,,,,,,,,,,
232,3,02:03,3,,,,,,,,,,,,,,
232,3,02:04,4,,,2.320015,,,,,,1,,,,0.016589,
232,3,02:05,5,,,,,,,,,,,,,,
232,3,02:06,6,,,2.529835,,,,,,1.5,,,,0.01066,
232,3,02:07,7,,,,,,,,,,,,,,
232,3,02:08,8,,,2.738648,,,,,,2,,,,0.007471,
232,3,02:09,9,,,2.880445,,,,,,2.5,,,,0.010965,
232,3,02:10,10,,,,,,,,,,,,,,
232,3,02:11,11,,,,,,,,,,,,,,
232,3,02:12,12,,,3.199466,,,,,,3,,,,0.011437,
232,3,02:13,13,,,3.348905,,,,,,3.5,,,,0.011689,
232,3,02:14,14,,,,,,,,,,,,,,
232,3,02:15,15,,,,,,,,,,,,,,
232,3,02:16,16,,,3.668346,,,,,,4,,,,0.014167,
232,3,03:01,1,,,3.794576,,,,,,4.5,,,,0.018203,
232,3,03:02,2,,,,,,,,,,,,,,
232,3,03:03,3,,,,,,,,,,,,,,
232,3,03:04,4,,,4.124785,,,,,,4.5,,,,0.021462,
232,3,03:05,5,,,,,,,,,,,,,,
232,3,03:06,6,,,4.33778,,,,,,4.5,,,,0.013709,
232,3,03:07,7,,,,,,,,,,,,,,
232,3,03:08,8,,,4.546373,,,,,,4.5,,,,0.016159,
232,3,03:09,9,,,4.702927,,,,,,5,,,,0.012552,
232,3,03:10,10,,,,,,,,,,,,,,
232,3,03:11,11,,,,,,,,,,,,,,
232,3,03:12,12,,,5.012364,,,,,,4.5,,,,0.017468,
232,3,03:13,13,,,5.158999,,,,,,5,,,,0.351691,
232,3,03:14,14,,,,,,,,,,,,,,
232,3,03:15,15,,,,,,,,,,,,,,
232,3,03:16,16,,,,,,,,,,,,,,
232,3,04:01,1,,,,,,,,,,,,,,
232,3,04:02,2,,,5.726266,,,,,,4,,,,0.428473,
232,3,04:03,3,,5.790945,5.823835,,,,,4.5,4,,,0.020154,0.459925,
232,3,04:04,4,,,5.928428,,,,,,4.5,,,,0.336485,
232,3,04:05,5,,6.06988,6.06017,,,,,4.5,5,,,0.700768,0.409242,
232,3,04:06,6,,6.143321,,,,,,5,,,,0.103912,,
232,3,04:07,7,,6.285753,,,,,,5.5,,,,0.324482,,
232,3,04:08,8,,6.357169,,,,,,6,,,,0.135223,,
232,3,04:09,9,,6.506524,,,,,,6,,,,0.596132,,
232,3,04:10,10,,6.59277,6.622086,,,,,6.5,4,,,0.296842,0.521545,
232,3,04:11,11,6.73196,6.718838,6.729765,,,,3.5,6.5,4,,0.254253,0.083921,0.386297,
232,3,04:12,12,6.839344,6.807834,6.827614,,,,4,7,4.5,,0.035332,0.039874,0.313969,
232,3,04:13,13,6.953855,6.96155,6.950547,,,,4.5,7.5,5,,0.507831,0.54666,0.024289,
232,3,04:14,14,7.054214,,,,,,5,,,,0.160186,,,
