Time,Peak
0.380643,0.029725
0.459382,0.003334
0.749515,0.038642
1.225007,0.0319
1.501866,0.041678
1.827094,0.005814
1.958665,0.038461
2.294973,0.039983
2.645506,0.040845
3.113954,0.027351
3.145821,0.003746
3.379995,0.06179
3.717459,0.015992
3.840383,0.042583
4.178882,0.035704
4.541663,0.03618
4.977961,0.028565
5.245474,0.055667
5.559477,0.01592
5.701913,0.041591
6.044836,0.040327
6.396353,0.043391
6.845849,0.031807
7.106074,0.046356
7.423615,0.022961
7.570384,0.038327
7.680606,0.012881
7.784455,0.0032
7.887656,0.023688
8.124483,0.018954
8.229674,0.030354
8.347144,0.004659
8.581886,0.016958
8.675198,0.027405
8.81258,0.006075
8.920579,0.041969
9.056003,0.018294
9.156128,0.036313
9.271337,0.005553
9.377943,0.038598
9.409134,0.017854
9.527397,0.018374
9.58044,0.002753
9.708317,0.047285
9.941366,0.025544
10.024216,0.005394
10.064199,0.044701
10.169879,0.007209
10.313687,0.009503
10.400284,0.048421
10.503979,0.022604
10.562679,0.003192
10.628636,0.004809
10.744164,0.058165
10.874398,0.01894
10.92888,0.002786
10.982344,0.00435
11.057931,0.014005
11.192354,0.050261
11.325998,0.019438
11.510451,0.033171
11.58697,0.003108
11.72853,0.03929
11.765463,0.01207
11.947366,0.007092
11.986708,0.008172
12.086628,0.05102
12.214088,0.014807
12.270571,0.002591
12.303363,0.017764
12.413859,0.003435
12.551541,0.052916
12.67928,0.016462
12.761863,0.005722
12.876452,0.013227
13.010699,0.063572
13.124425,0.024846
13.164952,0.003968
13.213193,0.003105
13.332564,0.04345
13.460559,0.009449
13.491824,0.004076
13.580328,0.018778
13.651406,0.003585
13.685446,0.036015
13.787037,0.007513
13.922858,0.009432
14.025984,0.04022
14.13249,0.010887
14.259128,0.010914
14.32966,0.002718
14.373427,0.051872
14.407152,0.003781
14.499006,0.020289
14.597911,0.007688
14.71018,0.016002
14.783674,0.002718
14.829663,0.053241
14.952466,0.01518
15.051307,0.009029
15.160361,0.067674
15.281085,0.005101
15.312151,0.00257
15.38673,0.022651
15.477395,0.004347
15.512231,0.066156
15.624811,0.024837
15.741252,0.011842
15.855316,0.05921
15.965551,0.023213
16.074883,0.011869
16.21287,0.065002
16.329677,0.027279
16.421651,0.009493
16.526788,0.012514
16.65672,0.057711
16.779691,0.011507
16.885587,0.007051
16.981618,0.034902
17.129483,0.004602
17.175067,0.007289
17.216709,0.023801
17.304513,0.004307
17.339737,0.029745
17.448422,0.038535
17.602184,0.003653
17.667564,0.04035
17.754626,0.006556
17.785772,0.032159
17.901819,0.005802
18.023209,0.052101
18.152059,0.027077
18.237901,0.005447
18.341615,0.008867
18.428745,0.004335
18.477754,0.047627
18.54495,0.005321
18.607531,0.007824
18.696882,0.009544
18.808054,0.04603
18.921927,0.005113
19.044024,0.025355
19.151803,0.032306
19.196875,0.004299
19.24394,0.005857
19.275531,0.019777
19.403228,0.012587
19.495198,0.042597
19.56805,0.00726
19.60442,0.062451
19.716647,0.010752
19.791198,0.002911
19.839891,0.045705
19.9563,0.013735
20.050733,0.006183
20.155597,0.016443
20.244791,0.004235
20.280056,0.044858
20.328978,0.003197
20.383787,0.006621
20.422384,0.011591
20.513736,0.007948
20.609683,0.030785
20.731226,0.004485
20.762901,0.017509
20.852507,0.012617
20.931771,0.00275
20.970142,0.026751
21.057136,0.010319
21.181644,0.007479
21.229496,0.009478
21.308854,0.035416
21.410738,0.010049
21.537209,0.01433
21.672555,0.043006
21.778927,0.0161
21.894971,0.002851
21.990975,0.010698
22.122159,0.044648
22.240014,0.016463
22.349315,0.011043
22.457597,0.051581
22.577794,0.013599
22.687758,0.026566
22.79896,0.028175
22.895193,0.017315
23.0428,0.014218
23.149586,0.026251
23.179931,0.004638
23.244186,0.01465
23.362852,0.008469
23.495381,0.046987
23.601907,0.006987
23.713767,0.00794
23.824659,0.016928
23.962816,0.033883
24.071273,0.010271
24.131669,0.002954
24.173967,0.030919
24.21453,0.011266
24.292933,0.011758
24.385497,0.002579
24.419737,0.009991
24.524498,0.060207
24.59386,0.005801
24.643541,0.020733
24.722149,0.008151
24.870655,0.007259
24.9302,0.003211
24.982515,0.04549
25.049302,0.005648
25.182386,0.005645
25.330713,0.026108
25.416691,0.01235
25.537907,0.029255
25.593537,0.003293
25.654452,0.006681
25.688908,0.003459
25.802428,0.012621
25.879006,0.78046
26.009047,0.035894
26.092737,0.222047
26.1997,0.007898
26.240404,0.682155
26.356245,0.260637
26.465054,0.191541
26.559671,0.556864
26.81979,0.498616
27.02032,0.061091
27.170461,0.495489
27.26907,0.329648
27.310642,0.144024
27.341571,0.00423
27.428966,0.004414
27.489831,0.586894
27.629922,0.212664
27.720629,0.008509
27.759317,0.558878
27.869823,0.007299
27.958323,0.010125
28.087101,0.584501
28.182842,0.304351
28.221012,0.163043
28.252509,0.025918
28.406695,0.604817
28.664551,0.650938
28.775144,0.009129
28.89224,0.002748
29.015535,0.633678
29.094202,0.154218
29.139565,0.061924
29.199966,0.064187
29.292913,0.00279
29.330159,0.582071
29.502648,0.024314
29.592435,0.526311
29.814826,0.016048
29.933424,0.581375
30.032014,0.350836
30.075238,0.095652
30.142973,0.042432
30.220247,0.018553
30.260024,0.604102
30.523231,0.497198
30.695288,0.004388
30.737504,0.041852
30.882728,0.632191
30.963331,0.227819
31.011734,0.068373
31.044582,0.069164
31.157213,0.013288
31.195983,0.745716
31.339936,0.128675
31.418911,0.010728
31.458922,0.845592
31.655599,0.070495
31.794252,0.580198
31.890591,0.303891
31.926536,0.078484
32.001714,0.025221
32.102139,0.562748
32.248524,0.243973
32.339262,0.010875
32.376221,0.584504
32.562127,0.277255
32.717787,0.740786
32.816661,0.264078
32.88511,0.040792
33.036986,0.673371
33.292607,0.653494
33.506305,0.072628
33.640935,0.495216
33.74916,0.354792
33.785096,0.127043
33.869872,0.003015
33.965241,0.617849
34.142283,0.025503
34.190573,0.009148
34.224803,0.490605
34.57978,0.676596
34.791656,0.025793
34.846821,0.005116
34.923421,0.003155
34.981151,0.002713
35.072258,0.019723
35.114798,0.004505
35.184423,0.836959
35.276534,0.174377
35.376589,0.448293
35.47963,0.010401
35.511998,0.644123
35.64681,0.500476
35.801349,0.022866
35.834922,0.513608
36.036881,0.005274
36.1044,0.651496
36.317726,0.004115
36.459633,0.592068
36.559852,0.405651
36.608029,0.099099
36.669246,0.052249
36.784741,0.492535
36.936518,0.340008
37.06307,0.57647
37.249311,0.177725
37.406552,0.544622
37.527147,0.341679
37.718361,0.618334
37.86278,0.160559
37.983654,0.758439
38.171954,0.185214
38.321496,0.649856
38.422228,0.466039
38.460633,0.161161
38.515264,0.029885
38.65195,0.568046
38.810204,0.003015
38.911664,0.711788
39.256396,0.620218
39.352723,0.333575
39.39554,0.134259
39.465237,0.017272
39.566842,0.482717
39.832656,0.781598
40.185678,0.633848
40.285378,0.109536
40.400272,0.124808
40.505788,0.572589
40.674863,0.00635
40.763309,0.700685
40.993812,0.010602
41.232424,0.029043
41.44709,0.579193
41.576874,0.178419
41.713455,0.700021
41.900275,0.075259
42.055439,0.583128
42.169639,0.07894
42.271664,0.154582
42.378701,0.36433
42.51938,0.132008
42.634498,0.589612
42.732726,0.117952
42.842212,0.182666
42.978274,0.409106
43.065107,0.002831
43.096945,0.307885
43.205021,0.147632
43.293912,0.425571
43.408586,0.008256
43.441434,0.255186
43.546329,0.572879
43.650189,0.150184
43.762178,0.243334
43.899749,0.551133
44.004614,0.182131
44.123391,0.205463
44.191083,0.013748
44.222322,0.502554
44.366514,0.344162
44.460892,0.004139
44.514411,0.003206
44.606763,0.003815
44.705008,0.02744
44.743315,0.004434
44.880802,0.002654
44.948059,0.018784
45.07026,0.034454
45.174922,0.003657
45.234168,0.006485
45.315576,0.011665
45.408048,0.035117
45.480093,0.00445
45.535645,0.022395
45.626612,0.008146
45.706546,0.002792
45.767872,0.044884
45.868473,0.014445
45.94202,0.007625
46.011102,0.006337
46.088189,0.015045
46.162501,0.00534
46.235578,0.051227
46.352189,0.009684
46.458698,0.01025
46.564672,0.033159
46.726132,0.007135
46.791279,0.02465
